,0
1130,"Masternaut Limited is a telematics company specialising in fleet and asset management. They achieved initial recognition with Martin Port as CEO and subsequently with Martin Hiscox as Chairman were featured as a 2015 UK Government Future 50 Tech Company and in the Sunday Times Tech Track 100, a list of the fastest growing UK technology firms, in 2007, 2008, 2009, 2010 and 2014. In April 2011 Masternaut merged with former AIM-listed competitor Cybit, and is operating under the Masternaut name. The company is owned by Summit Partners and Fleetcor, following its acquisition from Francisco Partners in 2014. and are now owned by Michelin. Masternaut has around 400 employees, based in the UK and France."
1131,"Space rock is a music genre characterized by loose and lengthy song structures centered on instrumental textures that typically produce a hypnotic, otherworldly sound. It may feature distorted and reverberation-laden guitars, minimal drumming, languid vocals, synthesizers and lyrical themes of outer space and science fiction.
The genre emerged in late 1960s psychedelia and progressive rock bands such as Pink Floyd, Hawkwind, and Gong who explored a ""cosmic"" sound. Similar sounds were pursued in the early 1970s West German kosmische Musik (""cosmic music"") scene. Later, the style was taken up in the mid-1980s by Spacemen 3, whose ""drone-heavy"" sound was avowedly inspired by and intended to accommodate drug use. By the 1990s, space rock developed into shoegazing, stoner rock and post-rock with bands such as the Verve, Flying Saucer Attack, and Orange Goblin."
1132,"Karl Josef Aigen (8 October 1684 – 22 October 1762) was a landscape painter, born at Olomouc."
1133,"Kokborok Day (Tripuri language Day) is a festival celebrated in the Indian state of Tripura to celebrate the development of the Kokborok language. It is observed on 19 January every year. The Kokborok language is an official language in Tripura. This day is chosen to commemorate its initial recognition as an official language in 1979. The activities include cultural programmes and literary activities.

"
1134,"Netley Cottage at 10 Lower Terrace is a house in Hampstead in the London Borough of Camden. It is listed Grade II on the National Heritage List for England.The house dates to c.1779; an extension was added to the south west in 1910. It was most likely developed from a farmhouse. The cottage is rendered in stucco and is 2 storeys in height.Several notable people have been associated with Netley Cottage. Adolphus Ward was born at the cottage in December 1837. The future Lord Chief Justice of England and Wales, John Coleridge, lived here as a young barrister.Charles Appleton lived here for several years. His biographer Archibald Henry Sayce described Netley Cottage as ""the pretty artistic home where it was his pride and pleasure to bring together gradually the goodly collection of books, engravings, china, old furniture..."". Robert Louis Stevenson and Sidney Colvin frequented the house when Appleton was resident.The solicitor Percy Edward Marshall, founder of the law firm Hensman & Marshall and Director of the Law Association, lived here for several decades.

"
1135,"Green Creek is an unincorporated community located within Middle Township, in Cape May County, New Jersey, United States. It is located on Route 47 (Delsea Drive). It is a very low-lying area with a highest elevation of just above 20 feet (6.1 m). The community is located about 3 miles (4.8 km) west of Rio Grande and about 2 miles (3.2 km) from the Delaware Bay. It is mostly residential with areas of agriculture and commerce along the main road, Delsea Drive (Route 47). The United States Postal Service ZIP Code is 08219. The post office was established in 1829 with Matthew Marcy as the first postmaster."
1136,"The University of Mississippi (byname Ole Miss) is a public research university that is located adjacent to Oxford, Mississippi, and has a medical center in Jackson. It is Mississippi's oldest public university and its largest by enrollment.The Mississippi Legislature chartered the university on February 24, 1844, and four years later it admitted its first 80 students.  During the Civil War, the university operated as a Confederate hospital and narrowly avoided destruction by Ulysses S. Grant's forces. In 1962, during the civil rights movement, a race riot occurred on campus when segregationists tried to prevent the enrollment of African American student James Meredith. The university has since taken measures to improve its image. The university is closely associated with writer William Faulkner, and owns and manages his former Oxford home Rowan Oak, which with other on-campus sites Barnard Observatory and Lyceum–The Circle Historic District, is listed on the National Register of Historic Places.
The University of Mississippi is classified as ""R1: Doctoral Universities – Very high research activity"". It is one of 33 institutions participating in the National Sea Grant Program, and also participates in the National Space Grant College and Fellowship Program. Its research efforts include the National Center for Physics Acoustics, the National Center for Natural Products Research, and the Mississippi Center for Supercomputing Research. The university operates the country's only federally contracted Food and Drug Administration (FDA)-approved cannabis facility. It also operates interdisciplinary institutes such as the Center for the Study of Southern Culture. Its athletic teams compete as the Ole Miss Rebels in the National Collegiate Athletic Association (NCAA)'s Southeastern Conference Division I.
The university's alumni include 27 Rhodes Scholars, 10 governors, 5 US senators, a head of government, and a Nobel Prize Laureate. Other alumni have received honors such as Emmy Awards, Grammy Awards, and Pulitzer Prizes. Its medical center performed the first human lung transplant and animal-to-human heart transplant."
1137,Yoon Shin-Young  (Hangul: 윤신영; born 22 May 1987) is a South Korean football player who plays as a defender for Daejeon Citizen.
1138,"Swansonville is an unincorporated community in Pittsylvania County, in the U.S. state of Virginia."
1139,"The Bentley Continental GT is a grand tourer manufactured and marketed by British automaker Bentley Motors since 2003. It was the first car released by Bentley under Volkswagen AG management, after the company's acquisition in 1998, and the first Bentley to employ mass production manufacturing techniques."
1140,"The Loss of the Kink Salient occurred during a local attack on 11 May 1916, by the 3rd Bavarian Division on the positions of the 15th (Scottish) Division. The attack took place at the west end of the Hohenzollern Redoubt near Loos, on the Western Front during the First World War. An unprecedented bombardment demolished the British front line, then specially trained German assault units rushed the survivors and captured the British front line and the second line of defence; British tunnellers were trapped in their galleries and taken prisoner.
Hasty counter-attacks by the British were repulsed amidst the darkness, smoke and dust, which left British artillery observers unable to see the front line. The British guns continued to fire on the German front line long after the German raiders had crossed no man's land but an organised counter-attack at 9:30 p.m. was conducted with artillery support. The counter-attack made progress at Hussar Horn in the early hours of 12 May but was abandoned. A final attempt to recapture the lost ground on 14 May was defeated and the British consolidated a new line further back, on ground less exposed than the Kink."
1141,"Andrew Hosmer (born March 1964) is an attorney, businessman and Democratic politician currently serving as the mayor of Laconia, New Hampshire.  He previously served two terms (2012-2016) in the New Hampshire Senate representing Senate District 7.  In the Senate, Hosmer served on the Commerce, Ways & Means, and Finance Committees. In his final Senate term (2015-2016), he was the Democratic Caucus Leader. Hosmer is also the general manager of AutoServ, his family's automotive business and is the father of four children."
1142,Patersonia macrantha is a species of plant in the iris family Iridaceae and is endemic to the northern part of the Northern Territory. It is a tuft-forming herb with linear to sword-shaped leaves and pale violet tepals.
1143,"George Perris (Greek: Γιώργος Περρής; born August 24, 1983) is a Greek-French international singer, songwriter, musician and producer. He is multilingual and sings in English, Greek, French, and Spanish."
1144,"Lagenophora gunniana, the coarse bottle-daisy, is a small flowering plant in the family Asteraceae native to the southeastern Australia mainland and Tasmania. The species was first formally named by Joachim Steetz in 1845.In Victoria, it grows on plains and low hills."
1145,"We in the Zone (Hangul: 위인더존) was a South Korean boy band formed in Seoul in 2019 under Choon Entertainment. The group was composed of five members: Min, Kyeongheon, Eson, Jooan, and Shihyun. They debuted on May 27, 2019 with their self-titled album ""We in the Zone""."
1146,"Flat Top Mountain is a 10,624-foot (3,238 m) peak in Utah and Tooele Counties, Utah in the United States, about 15 miles (24 km) to the east of Rush Valley.
With a prominence of approximately 5,370-foot (1,640 m), it is the sixth most prominent peak in Utah. It is the highest point of the Oquirrh Mountains.Flat Top Mountain overlooks Lehi, American Fork and the entire northern Utah county area. It can be seen everywhere in the greater Salt Lake Basin area."
1147,"Carabdytes is a genus of predaceous diving beetles in the family Dytiscidae. Carabdytes upin was formerly the sole species of this genus, but nine species in the genus Rhantus were transferred to Carabdytes as a result of research published by Balke et al. in 2017."
1148,"The Stuttgart-Bad Cannstatt–Aalen railway, also known as the Remsbahn (Rems Railway) or the Remstalbahn (Rems Valley Railway), was  historically the main line route from Stuttgart-Bad Cannstatt via Aalen to Nördlingen. Today the designation Rems Railway only refers to the section from Stuttgart to Aalen, the Aalen–Nördlingen line becoming part of the Ries Railway (Riesbahn). Between Waiblingen and Essingen the Rems line runs parallel to the River Rems from which it gets its name. The Deutsche Bahn timetable incorporates the Stuttgart–Aalen section as part of route no. 786 Stuttgart–Aalen–Crailsheim–Nuremberg and the Stuttgart–Schorndorf section as part of route no. 790.2-3.
The line is fully electrified and the western section from Stuttgart to Schorndorf is part of the Stuttgart S-Bahn."
1149,Memnon was metropolitan bishop of Ephesus during the third ecumenical council.
1150,"Michel Bourgeau (born June 28, 1960) is a former Canadian football defensive lineman who played ten seasons in the Canadian Football League for the Ottawa Rough Riders and the Edmonton Eskimos.
Born in Montreal, Quebec, Bourgeau played college football in the western United States at Boise State University (1980–1983).  In his freshman year, the Broncos won the Big Sky title and the Division I-AA national championship.  He was selected in the eleventh round of the 1984 NFL Draft by the New Orleans Saints.Bourgeau was also selected in the CFL Draft, fifth in the territorial exemption portion, by  Ottawa, and played with the Rough Riders for five seasons. He spent his last five seasons in Edmonton and retired after the 1993 season, after winning the Grey Cup."
1151,"Nederluleå Church (Swedish: Nederluleå kyrka) is a medieval Church of Sweden parish church in Gammelstaden near Luleå in Norrbotten County, Sweden. It belongs to the Diocese of Luleå. The church is the largest medieval church in the Swedish land of Norrland. It forms a part of the UNESCO World Heritage Site Gammelstad Church Town."
1152,The Sumoqagan mine is a large mine located in the northern China in Inner Mongolia. Sumoqagan represents one of the largest fluorite reserves in China having estimated reserves of 10.3 million tonnes of ore grading 53.9% fluorite.
1153,"Tatum Beatrice O'Neal (born November 5, 1963) is an American actress. She is the youngest person ever to win a competitive Academy Award, winning at age 10 for her performance as Addie Loggins in Paper Moon (1973) opposite her father, Ryan O'Neal. She also starred as Amanda Wurlitzer in The Bad News Bears (1976), followed by Nickelodeon (1976), and Little Darlings (1980). O'Neal later appeared in guest roles in Sex and the City, 8 Simple Rules and Law & Order: Criminal Intent. From 2006 to 2007, she portrayed Blythe Hunter in the My Network TV drama series Wicked Wicked Games."
1154,"Rezaabad (Persian: رضااباد, also Romanized as Reẕāābād) is a village in Azadegan Rural District, in the Central District of Rafsanjan County, Kerman Province, Iran. At the 2006 census, its population was 1,217, in 297 families."
1155,"HMS Devastation was an 8-gun British Royal Navy bomb vessel launched in 1803 at South Shields as the mercantile Intrepid. The Navy purchased her in 1804. She served in the English Channel, the Baltic, off the coast of Spain, and in the United States during the Napoleonic Wars and War of 1812, most notably at the bombardment of Fort McHenry in the Battle of Baltimore in September 1814. The Navy sold her in 1816."
1156,"Nonosbawsut (died March 1819) was a leader of the Beothuk people. Family head of and partner of Demasduwit, born on the island of Newfoundland (present-day Newfoundland and Labrador, Canada). Sometimes referred to as Chief Nonosbawsut, his stature within the last remaining Beothuk would better be described as that of a headman or leader."
1157,"The Dranse d'Abondance is the upper part of the river Dranse in the French department of Haute-Savoie, a sub-tributary of the Rhône."
1158,"Nygolaimellidae is a family of nematodes belonging to the order Dorylaimida.Genera:
Nygolaimellus Loos, 1949
Nygolaimium Thorne, 1930
Scapidens Heyns, 1965"
1159,Besnik Hasi (born 29 December 1971) is a Kosovan professional football coach and former player who was most recently the manager of Saudi club Al-Ahli.
1160,"February 1 is the 32nd day of the year in the Gregorian calendar;  333 days remain until the end of the year (334 in leap years).

"
1161,"Rosa 'Diana, Princess of Wales' is a pink blend garden rose, first introduced in 1998 at the British Embassy in the United States."
1162,"Forest Park Jr./Sr. High School is a 7–12 grade public learning institution located in Ferdinand, Indiana. It serves the Southeast Dubois County School Corporation."
1163,"The Little Wanganui River is a river of the West Coast Region of New Zealand's South Island. It flows generally west from the slopes of Mount Allen, reaching the Karamea Bight close to the small settlement of Little Wanganui. It is home to a large number of trout."
1164,"The Russian Federal Nature Preserve Kamennaya Steppe is located in Talovsky District in Voronezh Oblast in the watershed of rivers Bitug and Khoper (both tributaries of Don River).
It is a research institute, where the study of Kamennaya Steppe soils began in 1892 by the father of modern soil science Vasily Dokuchaev."
1165,"Daniel Saul Goldin (born July 23, 1940) served as the 9th and longest-tenured Administrator of NASA from April 1, 1992, to November 17, 2001. He was appointed by President George H. W. Bush and also served under Presidents Bill Clinton and George W. Bush. He is an entrepreneur and technologist. Most recently he is the founder of Cold Canyon AI, an innovation advisory company. His career has spanned numerous technologies and businesses in space science, aeronautics, national security, semiconductors, and artificial intelligence."
1166,"The Wetzel Chronicle is a newspaper serving New Martinsville, West Virginia, and surrounding Wetzel County. Published weekly, it has a circulation of 4,630 and is owned by Ogden Newspapers. Since April 2018, Eric Anderson has been the publisher."
1167,"Jo Garey (born 1 May 1974 in Sydney) is an Australian former cricket player.Garey played for the New South Wales women's cricket team between 1993 and 1998. She played twenty-one domestic limited overs matches, including fifteen Women's National Cricket League games.Garey played one Test and six One Day Internationals for the Australia national women's cricket team."
1168,"Authorized (foaled 14 February 2004) is an Irish-bred and British-trained Thoroughbred racehorse, winner of the 2007 Epsom Derby."
1169,"The Sun Flightcraft Air-Chopper is an Austrian powered parachute that was designed by Herbert Hofbauer and produced by Sun Flightcraft of Innsbruck. Now out of production, when it was available the aircraft was supplied complete and ready-to-fly.The aircraft was introduced before 2003 and production ended in about 2008 when the model was discontinued. The company no longer manufactures powered parachutes."
1170,Nucleosome Positioning Region Database (NPRD) is a database of nucleosome formation sites (NFSs).
1171,"Trichophysetis neophyla is a moth of the family Crambidae. It was described by Edward Meyrick in 1884 and is known from Australia.
The wingspan is about 12 mm. The wings have fine dark and light bars giving a silvery-grey appearance, as well as some wavy brown and olive-green markings. When at rest, it has an unusual curved posture with the wing tips near the surface and abdomen held away from the surface."
1172,"Catasetum saccatum, the sack-shaped catasetum, is a species of orchid.
 Media related to Catasetum saccatum at Wikimedia Commons"
1173,"Rodrigo Ost dos Santos (born August 2, 1988) is a Brazilian professional footballer who plays as an midfielder for Xagħra United."
1174,"The Czech Republic Intelligence System (IS) is responsible for the collection, analysis, reporting and dissemination of intelligence on threats to the Czech Republic, both foreign and domestic. It is also responsible for collecting intelligence on foreign nations, organisations, person and groups. The IS is vital towards the protection and promotion of the Czech Republic and its interests. The major priorities of the systems are determined by the executive power. The activities on the IS must follow the respective laws. The President of the Czech Republic can request for information to be collected without the government's approval but with their knowledge."
1175,"The 1902–03 Syracuse Orangemen men's basketball team represented Syracuse University during the 1902–03 college men's basketball season. The team captain was Earl Twombley. Instead of a head coach, the team's operations was headed by guard and team manager Frank Bohr."
1176,"Dante's Inferno is a 2010 action-adventure game developed by Visceral Games and published by Electronic Arts. The game was released for PlayStation 3, Xbox 360, and PlayStation Portable in February 2010. The PlayStation Portable version was developed by Artificial Mind and Movement.
The game's story is loosely based on Inferno, the first canticle of Dante Alighieri's Divine Comedy. It follows Dante, imagined as a Templar knight from The Crusades, who, guided by the spirit of the poet Virgil, must fight through the nine Circles of Hell to rescue Beatrice from the clutches of Lucifer himself. In the game, players control Dante from a third-person perspective. His primary weapon is a scythe that can be used in a series of combination attacks and finishing moves. Many attack combinations and abilities can be unlocked in exchange for souls, an in-game currency that is collected upon defeating enemies.
Before the game's release, Dante's Inferno underwent a prominent, elaborate, and at times controversial marketing campaign led by the game's publisher Electronic Arts. This included the release of a fake religious game called Mass: We Pray, a motion controller-based game supposedly allowing players to engage in an interactive prayer and church sermon.
The game received generally positive reviews by critics, with praise for the gameplay, art direction, voice acting, story, sound design, and depiction of Hell.  The game spawned a comic book series and an animated movie, Dante's Inferno: An Animated Epic, which was released direct-to-DVD simultaneously with it."
1177,"Lousine Gevorkian (Armenian: Լուսինե Գևորգյան, Russian: Лусинэ Геворкян; born 21 February 1983) is the lead singer of the Russian nu metal band Tracktor Bowling and the alternative rock/punk band Louna.Gevorkian was born in Kapan. She was one of the founding members of the Russian band  Sfera Vliyaniya, but she left the group one year after its establishment. Later, she was picked as the lead singer of another project, Tracktor Bowling, that became one of the most popular metal bands in Russia. In 2008, she founded one more group, Louna, and at the moment Lousine is a member of both."
1178,"Cosworth is a British automotive engineering company founded in London in 1958, specialising in high-performance internal combustion engines, powertrain, and electronics; for automobile racing (motorsport) and mainstream automotive industries. Cosworth is based in Northampton, England, with American facilities in Indianapolis and Mooresville, North Carolina.
Cosworth has collected 176 wins in Formula One (F1) as engine supplier, ranking third with most wins, behind Ferrari and Mercedes."
1179,"Doran Stream (77°42′S 162°36′E) is a meltwater stream, 3 kilometres (2 mi) long, flowing north from Doran Glacier east of Sollas Glacier to Priscu Stream in Taylor Valley, Victoria Land. It was named by the Advisory Committee on Antarctic Names in 1996 after Peter Doran, a paleolimnologist currently an endowed chair at Louisiana State University, who has conducted studies of the paleolimnology and climate of the McMurdo Dry Valleys since 1993."
1180,"Technology (Russian: Технология) is a Soviet-Russian synthpop band formed in 1990 by Leonid Velichkovsky, Andrey Kokhaev, and Roman Ryabtsev, former members of the band Bioconstructor (Russian: Биоконструктор).

"
1181,Verena Lisa Wieder (born 26 June 2000) is a German footballer who plays as a midfielder for Bayer Leverkusen. She was youth international for Germany on several selection levels.
1182,"The Aciliu Viaduct is a viaduct located on the route of the 82 km (51 mi) long Orăștie-Sibiu section of the A1 Motorway between Orăștie in Hunedoara County and Sibiu in Sibiu County, Romania. More precisely it is located between the commune of Apoldu de Jos and the town of Săliște both located in Sibiu County in central Romania.The viaduct is one of the largest structures along the length of the A1 Motorway and is the longest and the highest viaduct in Romania. It is a traditional piled structure with a length of 1,100 m (3,600 ft) with 14 spans of 78 m (256 ft) each and a width of 24 m (79 ft). The pylons had to be concreted in the bedrock at a depth of 40 m (130 ft) below the surface because of the frequent landslides in the area. The fifth pylon is the highest of the structure, reaching 80 m (260 ft) from top to bottom.The structure's deck is constructed out of 20 copper combined reinforced steel U-beams weighing an average 385 tonnes each, with the largest weighing up to 400 tonnes, resulting in a total steel usage of around 8000 tonnes for the entire structure. Each of the 20 U-beams has a length of 55 m (180 ft) and comprises 88 different sections welded together onsite. The company responsible for the construction of the Aciliu viaduct is Impregilo subcontractor Collini. The total cost of the 22 km (14 mi) highway section containing the viaduct, which runs between Cunța and Săliște, is around €142 million."
1183,"Viral hemorrhagic septicemia (VHS) is a deadly infectious fish disease caused by Viral hemorrhagic septicemia virus. It afflicts over 50 species of freshwater and marine fish in several parts of the Northern Hemisphere.  Different strains of the virus occur in different regions, and affect different species. There are no signs that the disease affects human health. VHS is also known as Egtved disease, and the virus as Egtved virus.Historically, VHS was associated mostly with freshwater salmonids in western Europe, documented as a pathogenic disease among cultured salmonids since the 1950s. Today it is still a major concern for many fish farms in Europe and is therefore being watched closely by the European Community Reference Laboratory for Fish Diseases.  It was first discovered in the US in 1988 among salmon returning from the Pacific in Washington state. This North American genotype was identified as a distinct, more marine-stable strain than the European genotype. VHS has since been found afflicting marine fish in the northeastern Pacific Ocean, the North Sea, and the Baltic Sea. Since 2005, massive die-offs have occurred among a wide variety of freshwater species in the Great Lakes region of North America.

"
1184,"The yellow-bellied siskin (Spinus xanthogastrus) is a small passerine bird in the finch family Fringillidae. It breeds from Costa Rica south to southern Ecuador, central Bolivia and the highlands of northwestern Venezuela.
The yellow-bellied siskin breeds in mountain oak forests at altitudes between 800–3,000 m. The nest is a shallow cup of rootlets, bark and lichens 2.4–3.7 m high in the dense foliage of a small tree in a clearing. The two or three green-tinged white eggs are laid in April or May and incubated by the female. Although not migratory, this species wanders within its range when not breeding.
The yellow-bellied siskin is a small bird, 10.5 cm in length and weighing 12 g. The male is entirely black except for a bright yellow belly, tail sides and wing patches. The female is dark olive green above and has pale yellow underparts which become brighter on the belly. She has a blackish tail and wings and also has bright yellow primary wing patches and tail sides. Young birds resemble the female, but have dusky fringes to the upperpart feathers and smaller yellow wing and tail patches. The song of this bird is a pleasant chattering twitter, and the call is a sharp pyee.
The subspecies S. x. stejnegeri, which occurs from extreme southeastern Peru to central Bolivia, is larger and longer-billed than the nominate subspecies S. x. xanthogastrus. Males have larger yellow wing patches and more extensive black on the flanks. Females of this subspecies are darker olive above than the northern birds.
The yellow-bellied siskin is more of a woodland bird than the superficially similar lesser goldfinch (Spinus psaltria) and the latter species is paler and has a white wing patch and a more musical song.
The yellow-bellied siskin has been relentlessly persecuted for the cage-bird trade in some areas, such as central Costa Rica. Where it remains common, in remote or protected areas, flocks of up to 30 birds forage in the canopy for small insects and oak flowers, or descend to clearings for seeds. The males may sing socially."
1185,"A nerd is a person seen as overly intellectual, obsessive, introverted or lacking social skills. Such a person may spend inordinate amounts of time on unpopular, little known, or non-mainstream activities, which are generally either highly technical, abstract, or relating to topics of science fiction or fantasy, to the exclusion of more mainstream activities. Additionally, many so-called nerds are described as being shy, quirky, pedantic, and unattractive.Originally derogatory, the term ""nerd"" was a stereotype, but as with other pejoratives, it has been reclaimed and redefined by some as a term of pride and group identity."
1186,"Niu Weiyu (Chinese: 牛畏予; born 1927 in Tanghe, Henan) is a Chinese photojournalist whose career started in the 1940s with coverage of the Chinese Communist Party's wartime experiences and continued after 1949. She is praised for her photographs of ordinary workers and ethnic groups, and as one of the few women in photography, she specialized in female images.
She is a member of the Chinese Communist Party and the Chinese Photographers Association. Her husband, Gao Fan (1922-2004) was also a wartime and post-1949 photographer."
1187,"The mining industry of Malawi, includes a number of gemstones and other minerals.
The value of mining is dominated by the extraction of fuel minerals, particularly uranium. 
Malawi's production of uranium has contributed 1% to the global production of this mineral. Since 2009, with new licenses granted to extract it from the Kayelekera uranium mine in Karonga District, in the northern region of the country, its production has contributed to an increase of Malawi's Gross Domestic Product (GDP) from 1% to 10% as of 2013. It is estimated that with increased emphasis on mineral extraction, the sector's contribution to GDP could be 20% by 2023. As of the financial year 2015–2016, the Government of Malawi reported that mining contributed less than 1%. This is attributed to suspension of production at Kayelekera Uranium Mine."
1188,"Manda Hararo is a group of basaltic shield volcanoes in east Africa whose last eruption was in 2009. The group is very large, spreading over 105 square kilometres (41 sq mi). At its northern end is a small example. South of this volcano is the Gumatmali-Gablaytu fissure system, an area dominated by fissure-fed lava flows. At the centre of the complex rise two volcanoes. Manda Hararo's large size is because it is a raised block from the end of a mid-ocean ridge spreading center. It is known for its rare basalts."
1189,"Skin is the layer of usually soft, flexible outer tissue covering the body of a vertebrate animal, with three main functions: protection, regulation, and sensation.Other animal coverings, such as the arthropod exoskeleton, have different developmental origin, structure and chemical composition. The adjective cutaneous means ""of the skin"" (from Latin cutis 'skin'). In mammals, the skin is an organ of the integumentary system made up of multiple layers of ectodermal tissue and guards the underlying muscles, bones, ligaments, and internal organs. Skin of a different nature exists in amphibians, reptiles, and birds. Skin (including cutaneous and subcutaneous tissues) plays crucial roles in formation, structure, and function of extraskeletal apparatus such as horns of bovids (e.g., cattle) and rhinos, cervids' antlers, giraffids' ossicones, armadillos' osteoderm, and os penis/os clitoris.All mammals have some hair on their skin, even marine mammals like whales, dolphins, and porpoises that appear to be hairless.
The skin interfaces with the environment and is the first line of defense from external factors. For example, the skin plays a key role in protecting the body against pathogens and excessive water loss. Its other functions are insulation, temperature regulation, sensation, and the production of vitamin D folates.  Severely damaged skin may heal by forming scar tissue. This is sometimes discoloured and depigmented. The thickness of skin also varies from location to location on an organism. In humans, for example, the skin located under the eyes and around the eyelids is the thinnest skin on the body at 0.5 mm thick and is one of the first areas to show signs of aging such as ""crows feet"" and wrinkles. The skin on the palms and the soles of the feet is the thickest skin on the body as 4 mm thick. The speed and quality of wound healing in skin is promoted by the reception of estrogen.Fur is dense hair. Primarily, fur augments the insulation the skin provides but can also serve as a secondary sexual characteristic or as camouflage. On some animals, the skin is very hard and thick and can be processed to create leather. Reptiles and most fish have hard protective scales on their skin for protection, and birds have hard feathers, all made of tough beta-keratins. Amphibian skin is not a strong barrier, especially regarding the passage of chemicals via skin, and is often subject to osmosis and diffusive forces. For example, a frog sitting in an anesthetic solution would be sedated quickly as the chemical diffuses through its skin. Amphibian skin plays key roles in everyday survival and their ability to exploit a wide range of habitats and ecological conditions.

"
1190,"My Love: Six Stories of True Love is a 2021 docuseries released on Netflix on April 13, 2021, starring David Isham, Ginger Isham and Michael Isham.

"
1191,"Saint Saturnin of Toulouse (Latin: Saturninus, Occitan: Sarnin, French: Saturnin, Sernin, Catalan: Serni, Sadurní, Galician: Sadurninho and Portuguese: Saturnino, Sadurninho, Basque: Satordi, Saturdi, Zernin, and Spanish: Saturnino, Serenín, Cernín) was one of the ""Apostles to the Gauls"" sent out (probably under the direction of Pope Fabian, 236–250) during the consulate of Decius and Gratus (250–251) to Christianise Gaul after the persecutions under Emperor Decius had all but dissolved the small Christian communities. St Fabian sent out seven bishops from Rome to Gaul to preach the Gospel: Saint Gatien to Tours, Saint Trophimus to Arles, Saint Paul to Narbonne, Saint Saturnin to Toulouse, Saint Denis to Paris, Austromoine to Clermont, and Saint Martial to Limoges. His feast day is 29 November.

"
1192,Several major power outages have occurred in the country of Malaysia.
1193,"British Queen Anne Revival architecture, also known as Domestic Revival, is a style of building using red brick, white woodwork, and an eclectic mixture of decorative features, that became popular in the 1870s, both for houses and for larger buildings such as offices, hotels, and town halls. It was popularised by Norman Shaw (1831–1912) and George Devey (1820–1886)."
1194,"Fighting is the fifth studio album by Irish rock band Thin Lizzy, released in 1975. Following the release of four studio albums, the band finally forged an identifiable sound featuring the twin guitars of Scott Gorham and Brian Robertson. This sound draws from hard rock, folk, pop and rhythm and blues. It set the stage for the big commercial breakthrough of the follow-up album, Jailbreak. The album was also their first album to chart in the UK, hitting No. 60."
1195,"Alan Francis Clutton-Brock (8 October 1904 – 18 December 1976) was an English art critic and essayist.
Clutton-Brock was born in Weybridge, Surrey, the son of Arthur Clutton-Brock. He was educated at Eton and King's College, Cambridge.He was art critic of The Times, 1945–55, a trustee of the National Gallery, and Slade Professor of Fine Art, at Cambridge, 1955–58. He wrote books of art criticism, a biography of William Blake, and a detective story, Murder at Liberty Hall. During the Second World War he served in the Royal Air Force Volunteer Reserve.Clutton-Brock was twice married. His first wife, Shelagh, née Archer, with whom he had a daughter (Juliet Clutton-Brock) and a son, died in a road accident in 1936. In the same year he married Barbara Foy Mitchell, with whom he had a daughter. He died at his home, Chastleton House, Oxfordshire, aged 72.

"
1196,"The 2012–13 Austrian Football Bundesliga was the 101st season of top-tier football in Austria. The season began on 21 July 2012 and ended on 26 May 2013, with the winter break held between 22 December 2012 and 9 February 2013.

"
1197,"The 1987 NAIA Division II football season, as part of the 1987 college football season in the United States and the 32nd season of college football sponsored by the National Association of Intercollegiate Athletics (NAIA), was the 18th season of play of the NAIA's lower division for football.
The season was played from August to November 1987 and culminated in the 1987 NAIA Division II Football National Championship, played at the Tacoma Dome near the campus of Pacific Lutheran University in Tacoma, Washington. Pacific Lutheran and Wisconsin–Stevens Point played to a tie, 16–16, and were declared co-national champions. It was Pacific Lutheran's second NAIA national title and Wisconsin–Stevens Point's first. However, the Pointers later forfeited their shared of title after it was discovered they had been used two ineligible players during the season."
1198,"Fr. José Ignacio Cienfuegos Arteaga (October 1, 1762 – November 8, 1847) was a Chilean priest, Roman Catholic bishop of Concepción and political figure. He served twice as President of the Senate of Chile.
Cienfuegos was born in Santiago, the son of Francisco Cienfuegos and of Josefa Arteaga Martínez. He studied Theology at the Universidad Real de San Felipe and was later ordained as a priest in 1778. Cienfuegos became a Dominican friar and in 1790 was named priest of Talca, where he worked for 23 years. As such, he actively participated in the independence movement in Chile.
On October 9, 1813, he became a member of the Government Junta. During his term the junta adopted the national flag, founded the National institute of science and numerous primary schools throughout the country. In March 1814, Cienfuegos was elected titular member of the Consultive Senate of Chile. In 1814, after the battle of Rancagua, General Mariano Osorio deported him to the Juan Fernández Islands, where he remained for two years. He was allowed to return after the battle of Chacabuco in 1817. He was named administrator of the Santiago Cathedral in 1818 and participated in the formulation of the 1818 constitution. He was a member and President of the Conservative Senate of Chile between 1818 and 1820.
In 1821, Cienfuegos was sent to Rome as ambassador to try to negotiate the recognition of the Chilean independence. He returned to Chile in 1824 and became the Apostolic Administrator of the Santiago diocese while at the same time being one of the principal promoters of the Federalist attempt in Chile. In 1825 he became the President of the Provincial Assembly of Santiago and in 1826 participated in the constitutional congress as a deputy for Talca. Cienfuegos was returned as ambassador to the Holy See, where he was named titular Titular bishop of Retimo on December 15, 1828. He was elected Senator for Concepción on 1831, and again became President of the Conservative Senate of Chile between 1831 and 1834. On December 17, 1832 was named Bishop of Concepción.
On 1839 he resigned his bishopric and retired to the city of Talca, where he continue to work as a priest until his death on November 8, 1847, at the age of 85."
1199,Stéphane Stassin (born 8 October 1976) is a retired Belgian professional footballer who currently works as youth coach at Anderlecht.
1200,"The 2016 Vancouver Whitecaps FC season is the Whitecaps' sixth season in Major League Soccer, the top tier of soccer in the United States and Canada."
